26
0	0	5	0	0	7	0	0	7	0	8	0	8	0	0	4	0	0	0	0	0	5	8	0	0	0
5	0	0	0	0	0	0	0	1	8	1	7	0	8	0	0	1	0	5	0	0	0	0	7	0	8
0	0	0	0	0	7	0	0	8	0	0	0	0	7	0	7	0	4	0	5	0	7	0	4	8	4
0	4	1	8	0	0	8	4	4	0	1	7	7	0	1	4	0	4	0	8	0	0	5	7	7	8
0	0	0	4	7	0	1	0	0	0	5	0	0	0	0	8	0	0	0	0	0	0	1	8	0	5
0	0	8	7	0	0	0	7	0	0	8	0	0	8	0	1	5	5	4	0	1	1	0	0	5	4
0	0	5	0	0	0	0	0	0	1	7	0	0	1	0	0	5	0	0	8	0	5	0	7	5	0
1	0	4	7	5	4	0	0	4	0	7	0	7	8	0	1	0	0	4	0	0	4	0	7	0	0
0	0	7	5	7	0	5	0	0	0	8	0	8	0	4	0	0	0	4	0	0	0	5	0	4	0
1	0	7	0	4	0	4	0	0	0	4	1	7	7	0	0	1	1	0	0	0	0	0	0	7	0
0	0	0	0	0	0	0	0	0	8	1	8	5	8	5	0	0	1	0	0	0	1	0	7	0	0
0	0	0	0	0	1	5	4	5	5	5	0	7	0	5	8	4	8	5	0	0	0	1	5	0	0
0	0	7	0	0	8	0	0	0	0	1	1	0	4	1	0	4	4	0	0	8	0	0	0	5	4
0	0	0	0	7	7	0	0	0	0	0	7	0	1	1	5	7	0	0	4	5	7	0	0	0	4
7	0	0	1	0	0	1	8	0	0	8	7	0	0	0	7	1	1	4	0	0	0	0	0	0	7
0	0	0	0	0	4	0	8	1	0	4	0	8	0	0	1	8	5	5	0	4	0	4	1	7	0
0	0	4	7	0	5	0	0	5	7	4	7	0	0	5	0	0	0	0	0	0	4	8	7	0	0
0	0	7	0	8	0	0	0	1	1	0	5	0	0	0	0	0	4	4	0	0	0	4	7	4	7
0	0	8	5	0	4	4	4	0	0	8	0	0	7	0	1	8	0	1	4	0	0	1	7	0	0
0	0	1	0	0	4	1	7	0	4	0	0	5	8	0	0	0	0	0	0	0	0	0	1	0	0
7	5	0	7	0	7	0	0	0	0	5	0	7	1	0	7	7	0	4	5	0	0	0	0	4	0
0	0	1	0	0	0	5	0	0	5	0	0	0	4	4	8	0	1	0	0	0	0	0	0	0	0
0	8	0	0	8	0	0	0	5	0	0	0	5	1	8	7	0	0	0	4	8	4	8	0	5	0
0	0	8	0	0	0	7	0	1	0	1	0	4	8	1	0	0	0	0	0	0	8	0	7	8	0
1	0	0	0	0	0	0	1	0	0	0	0	8	1	4	1	5	0	7	0	0	0	0	7	7	0
0	5	8	0	8	0	0	8	5	7	4	0	0	4	7	0	1	0	0	0	4	5	0	0	7	1
